Measurement,Difference (us)
230,0.06
231,0.06
232,0.06
233,0.06
234,0.06
235,0.06
236,0.06
237,0.06
238,0.06
239,0.06
240,0.06
241,0.06
242,0.06
243,1.94
244,0.94
245,0.06
246,0.06
247,0.06
248,0.06
249,0.06
250,0.06
251,0.06
252,0.06
253,0.06
254,0.06
255,0.06
256,0.06
257,0.06
258,0.06
259,0.06
260,0.06
261,2.94
262,0.06
263,0.94
264,0.94
265,0.94
266,0.94
267,0.94
268,0.94
269,0.94
270,0.94
271,0.94
272,0.94
273,0.94
274,0.94
275,0.94
276,0.94
277,0.94
278,3.94
279,0.06
280,0.94
281,0.94
282,0.94
283,0.94
284,0.94
285,0.94
286,0.94
287,0.94
288,0.94
289,0.94
290,0.94
291,0.94
292,0.94
293,0.94
294,0.94
295,0.94
296,0.94
297,2.94
298,0.94
299,1.94
300,1.94
301,1.94
302,1.94
303,1.94
304,1.94
305,1.94
306,1.94
307,1.94
308,1.94
309,1.94
310,1.94
311,1.94
312,1.94
313,1.94
314,1.94
315,1.94
316,1.94
317,1.94
318,1.94
319,1.94
320,1.94
321,1.94
322,1.94
323,1.94
324,1.94
325,1.94
326,1.94
327,1.94
328,1.94
329,1.94
330,1.94
331,1.94
332,1.94
333,1.94
334,1.94
335,1.94
336,1.94
337,1.94
338,1.94
339,1.94
340,1.94
341,1.94
342,1.94
343,1.94
344,1.94
345,1.94
346,1.94
347,1.94
348,1.94
349,1.94
350,1.94
351,1.94
352,1.94
353,1.94
354,1.94
355,1.94
356,1.94
357,1.94
358,1.94
359,1.94
360,1.94
361,1.94
362,1.94
363,1.94
364,1.94
365,1.94
366,1.94
367,1.94
368,1.94
369,1.94
370,1.94
371,1.94
372,1.94
373,1.94
374,1.94
375,1.94
376,1.94
377,1.94
378,1.94
379,1.94
380,1.94
381,1.94
382,1.94
383,1.94
384,0.06
385,0.94
386,0.94
387,0.94
388,0.94
389,0.94
390,0.94
391,0.94
392,0.94
393,0.94
394,0.94
395,0.94
396,0.94
397,0.94
398,0.94
399,0.94
400,0.94
401,0.94
402,0.94
403,0.94
404,0.94
405,0.94
406,2.94
407,0.06
408,0.94
409,0.94
410,0.94
411,0.94
412,0.94
413,0.94
414,0.94
415,0.94
416,0.94
417,0.94
418,0.94
419,0.94
420,0.94
421,0.94
422,0.94
423,0.94
424,0.94
425,0.94
426,0.94
427,0.94
428,0.94
429,0.94
430,0.94
431,0.94
432,0.94
433,0.94
434,0.94
435,0.94
436,0.94
437,0.94
438,0.94
439,0.94
440,0.94
441,0.94
442,0.94
443,0.94
444,0.94
445,0.94
446,0.94
447,2.94
448,0.06
449,0.94
450,0.94
451,0.94
452,0.94
453,0.94
454,0.94
455,0.94
456,0.94
457,0.94
458,0.94
459,0.94
460,0.94
461,2.94
462,0.06
463,0.94
464,0.94
465,0.94
466,0.94
467,0.94
468,0.94
469,0.94
470,0.94
471,0.94
472,0.94
473,0.94
474,0.94
475,0.94
476,0.94
477,0.94
478,0.94
479,0.94
480,0.94
481,0.94
482,0.94
483,0.94
484,0.94
485,0.94
486,0.94
487,1.94
488,0.94
489,0.06
490,0.06
491,0.06
492,0.06
493,0.06
494,0.06
495,0.06
496,0.06
497,0.06
498,0.06
499,0.06
500,0.06
501,0.06
502,0.06
503,0.06
504,0.06
505,0.06
506,0.06
507,0.06
508,0.06
509,0.06
510,0.06
511,0.06
512,0.06
513,0.06
514,0.06
515,0.06
516,0.06
517,0.06
518,0.06
519,0.06
520,0.06
521,0.06
522,0.06
523,0.06
524,0.06
525,0.06
526,0.06
527,0.06
528,0.06
529,0.06
530,0.06
531,0.06
532,0.06
533,0.06
534,0.06
535,0.06
536,0.06
537,0.06
538,0.06
539,0.06
540,0.06
541,0.06
542,0.06
543,0.06
544,0.06
545,1.94
546,0.94
547,0.94
548,0.94
549,0.94
550,0.94
551,0.94
552,0.94
553,0.94
554,0.94
555,0.94
556,0.94
557,0.94
558,0.94
559,0.94
560,0.94
561,0.94
562,0.94
563,0.94
564,0.94
565,0.94
566,0.94
567,0.94
568,0.94
569,0.94
570,0.94
571,0.94
572,0.94
573,0.94
574,0.94
575,0.94
576,0.94
577,0.94
578,0.94
579,0.94
580,0.94
581,0.94
582,0.94
583,0.94
584,0.94
585,0.94
586,0.94
587,0.94
588,0.94
589,0.94
590,0.94
591,0.94
592,0.94
593,0.94
594,0.94
595,0.94
596,0.94
597,0.94
598,0.94
599,0.94
600,0.94
601,0.94
602,0.94
603,0.94
604,0.94
605,0.94
606,0.94
607,0.94
608,0.94
609,0.94
610,0.94
611,0.94
612,1.94
613,0.06
614,0.94
615,0.94
616,0.94
617,0.94
618,0.94
619,0.94
620,0.94
621,0.94
622,0.94
623,0.94
624,0.94
625,0.94
626,0.94
627,0.94
628,0.94
629,0.94
630,0.94
631,0.94
632,0.94
633,0.94
634,0.94
635,0.94
636,0.94
637,0.94
638,0.94
639,0.94
640,0.94
